AD,AN,AS,AT,GB,KN,KR,PJ,SA,SK,SS,SV,
1500,1500,1515.9669678793662,1529.007617586166,1480.5971044046926,1506.0422133642899,1444.963792709809,1490.2857079052383,1567.441599282764,1434.6877518177146,1473.6744853143348,1557.332759735625,
1500,1500,1520.2598586758088,1524.7147267897233,1480.5971044046926,1501.7493225678472,1444.963792709809,1490.2857079052383,1567.441599282764,1434.6877518177146,1473.6744853143348,1561.6256505320675,
1500,1500,1515.7485642536126,1520.203432367527,1480.5971044046926,1506.2606169900434,1444.963792709809,1490.2857079052383,1567.441599282764,1434.6877518177146,1473.6744853143348,1566.1369449542638,
1500,1500,1519.22730866057,1520.203432367527,1480.5971044046926,1506.2606169900434,1444.963792709809,1490.2857079052383,1570.9203436897214,1431.209007410757,1473.6744853143348,1562.6582005473063,
1500,1500,1524.6512553485295,1520.203432367527,1480.5971044046926,1500.836670302084,1444.963792709809,1490.2857079052383,1565.496397001762,1431.209007410757,1473.6744853143348,1568.0821472352657,
1500,1500,1524.6512553485295,1520.203432367527,1480.5971044046926,1498.6139030564457,1444.963792709809,1490.2857079052383,1567.7191642474004,1428.9862401651187,1473.6744853143348,1570.304914480904,
1500,1500,1529.487029613003,1520.203432367527,1480.5971044046926,1493.7781287919722,1444.963792709809,1490.2857079052383,1567.7191642474004,1433.8220144295922,1473.6744853143348,1565.4691402164306,
1500,1500,1534.6850358893566,1520.203432367527,1480.5971044046926,1498.976135068326,1444.963792709809,1490.2857079052383,1562.5211579710467,1428.6240081532385,1473.6744853143348,1565.4691402164306,
1500,1500,1529.4396425641712,1520.203432367527,1480.5971044046926,1498.976135068326,1444.963792709809,1490.2857079052383,1557.2757646458613,1433.869401478424,1473.6744853143348,1570.714533541616,
1500,1500,1537.9677856627075,1520.203432367527,1480.5971044046926,1498.976135068326,1444.963792709809,1490.2857079052383,1548.747621547325,1442.3975445769602,1473.6744853143348,1562.1863904430797,
1500,1500,1537.9677856627075,1520.203432367527,1475.4791392329762,1504.0941002400423,1444.963792709809,1490.2857079052383,1543.6296563756086,1447.5155097486765,1473.6744853143348,1562.1863904430797,
1500,1500,1532.7764867400304,1520.203432367527,1475.4791392329762,1509.2853991627194,1444.963792709809,1490.2857079052383,1548.8209552982858,1442.3242108259994,1473.6744853143348,1562.1863904430797,
1500,1500,1527.0585601323858,1520.203432367527,1469.7612126253316,1509.2853991627194,1444.963792709809,1490.2857079052383,1554.5388819059303,1448.042137433644,1473.6744853143348,1562.1863904430797,
